,titles,category
0, 명품백이 대통령 기록물  그러면 명품관은 박물관인가  경악한 김웅,Politics
1,이준석  한동훈 우세승인데   도 인사만 기억남아 ,Politics
2,  최선희 손에  수상한 서류    푸틴  인류 역사상 초유의 도박하나   녹취록 ,Politics
3,김웅  윤 한 갈등은  다 진 게임  김건희 여사 출국도 해법 ,Politics
4,   이번엔 순항미사일 도발 핵탄두 탑재시 최대 살상고도 찾나,Politics
5, 김건희 명품백  더 말 안 한단 한동훈  해결된 게 없다,Politics
6, 충분히 말씀드렸다  입 다문 한동훈 민주  정치쇼 말고 특검 ,Politics
7,한동훈   김 여사  언급 안 해  충분히 말씀드렸다 ,Politics
8, 속보 이재명   윤석열 한동훈 절규하는 피해 국민 앞에서 일종의 정치쇼 ,Politics
9,새미래  미래연합에    일 광주부터는 창당대회 함께하길 ,Politics
10,이준석  양향자 한국의희망과 개혁신당 사실상 합당 선언 ,Politics
11, 이언주에 복당 권유한 이재명  실익은  ,Politics
12,한동훈  사퇴 방어로  홀로서기  일부 성과 갈등 불씨 남아,Politics
13,김정은  대사변 준비  이후  도발수위 계속 높이는 북한,Politics
14,당적 밥먹듯 바꾼 이언주  민주당 복당땐   번째 ,Politics
15,정동영  민주당 탈당파 호남 상륙 안돼 민주벨트 형성해 대응 ,Politics
16,김웅  김건희 불쌍하게 보이는 방법밖엔 사저나 외국 나가야 ,Politics
17, 친윤  이용에 불쾌감 표한   이상민  그분이   대변하나  직책도 없어 ,Politics
18,윤 한 저격 민주당  본질은 김 여사 죗값 치르는 것  정치쇼 변명 안 돼 ,Politics
19,한동훈  김 여사 질문에  제 생각 충분히 말씀드렸다 ,Politics
20, 김미경의 정치네컷  한동훈의  폴더인사   윤석열의  어깨 툭  극적화해  약속대련 ,Politics
21, 뉴스포커스  화재현장 동행한 윤대통령 한동훈 갈등 불씨는 여전,Politics
22,대만 야당  판도 변화  입지 좁아진 국민당    기선잡은 민중당,Politics
23,김건희 문제 입장 밝혀야      기자회견 열어야    ,Politics
24,김경율 사퇴가 출구전략  한동훈  그런 말 들은 바 없다 ,Politics
25,이준석  나는 정공법 썼지만   한동훈은 어설픈 봉합 ,Politics
26,국민의힘 전현직 국회의원 의정부갑 출사표 종합 ,Politics
27,불출마 김웅  김 여사  사저 가거나 해외로 나가라 ,Politics
28,이재명  윤 한  서천 봉합 에  그곳에서 정치쇼  역사에 남을 것 ,Politics
29,국힘 혼란할 때면 두더지처럼 쑥쑥 튀어나와 분란 부채질하는 사람들  기자  시 ,Politics
30,응답자      김건희 여사  명품 가방  논란  대통령이 직접 입장 밝혀야 ,Politics
31,윤석열 향한 한동훈의   도 인사 갈등 봉합  돌고 돌아 민주당 가는 이언주,Politics
32, 뉴스라이브  조응천  수박 나가니 이젠 멜론 압박 ,Politics
33,   예비군 동원훈련  년  년 보상비   만원 주겠다 ,Politics
34,윤석열    한동훈  지금은 예고편에 불과 본편은 공천 싸움 ,Politics
35,민주 총선  공약 발표  사병 휴대전화 요금 할인비율    로 ,Politics
36,용산 자극 피하려  한동훈  김건희 김경율 관련 입장 묻자  침묵 ,Politics
37,     당직비 인상 사병 전화요금 절반 할인 동원훈련 단축 ,Politics
38,     절반의 화해   김여사 김경율 민심  불씨 남아,Politics
39,이재명  대통령  절규하는 피해 국민 배경으로 정치쇼 ,Politics
40,유권자         김건희 문제에 입장 밝혀야   엠브레인퍼블릭 ,Politics
41, 뉴스       한동훈  총선 승리 다짐  함께 가면 길이 됩니다 ,Politics
42,김무성  김건희 직접 나설 필요 없다 김경율 사퇴해야 ,Politics
43,이상민  김경율  지금 그만두면 입 틀어막는 것 당에도 역효과 ,Politics
44,윤석열 입은 점퍼  한동훈과 특검 때 함께 입던 옷    녹취록 ,Politics
45,이인제   이재명   우리 북한  작심하고 한 말 ,Politics
46,이준석  한동훈  삼일천하 도 안돼 어설픈 봉합으로 진퇴양난 ,Politics
47,시민      윤 대통령  김건희 관련 입장표명해야 ,Politics
48,  대변인   윤 한 갈등  없었다 의사소통의 일시적 교란 정도 ,Politics
49,대통령실  김경율  말 안하고 한동훈  김 여사  답변     ,Politics
